asin,brand,description,listPrice/currency,listPrice/value,price,price/currency,price/value,reviewsCount,stars,thumbnailImage,title,url
B097JM98M1,Safari,"Seek 32L is a compact offering from Safari's overnighter laptop backpack ranges. Equipped with a unique offering of luggage-like opening (or book opening), this bag is perfect to meet ALL your travel needs - Work or Adventure Leisure! Made out of water-resistant fabric & front panel design, it serves as a highly elegant look. On the inside, cross packing straps are provided to help organise your packing. With a 17"" laptop and a tablet compatibility compartment Seek 32 has a total capacity of 32 liters, provided with compression straps and breathable back mesh that prevents the back of the backpack from overheating. Go ahead and add this friendly Seek overnighter backpack to your travel collection, whether it be for a short business trip or a weekend getaway!",₹,4899,,₹,1899,148,4.3,https://m.media-amazon.com/images/I/41p2cUCB6hL._SX342_SY445_.jpg,"Safari Seek 32 Ltrs Overnighter Travel Laptop Backpack (Blue), Water Resistant Spacious Bag for Travelling and Camping, All-Purpose Bag for Business & Leisure",https://www.amazon.in/dp/B097JM98M1
B09B26VHXV,Safari,,₹,2599,,₹,799,2898,3.8,https://m.media-amazon.com/images/I/31qE4EPJTXL._SX342_SY445_.jpg,"Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags| Weight Polyester Bagpack for Men and Women, Spacious Shoulder Bag for College, Office, Travelling and Camping",https://www.amazon.in/dp/B09B26VHXV
B09B25Z8M2,Safari,"Safari Quill is a 26 Litres, 2 compartment laptop backpack perfect for daily usage. It has a dedicated tech safe laptop sleeve that can hold upto 17 inch laptop or any smaller ones easily. The laptop sleeve is also fully padded from the bottom protecting your device from any shock or damage. This backpack is especially designed for todays fast paced world, where everything should be compact and lightweight. This backpack is perfect for everyday usage such as college, school, tuitions, or short holiday trips. The front pocket is designed to keep your essentials organized and side mesh pockets are perfect for storing your water bottle and umberella. Made of high grade water resistant polyester fabric, this backpack will last you several trips.",₹,2899,,₹,899,934,3.9,https://m.media-amazon.com/images/I/31omY9gVP0L._SX342_SY445_.jpg,"Safari Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Black, L (QUILL19CBBLK)",https://www.amazon.in/dp/B09B25Z8M2
B08R7RPVJF,Brand: Lenovo,,₹,1444,,₹,570,3462,4.3,https://m.media-amazon.com/images/I/318Vi4VZZpL._SX300_SY300_QL70_FMwebp_.jpg,"Lenovo 15.6"" (39.62cm) Slim Everyday Backpack, Made in India, Compact, Water-resistant, Organized storage:Laptop sleeve,tablet pocket,front workstation,2-side pockets,Padded adjustable shoulder straps",https://www.amazon.in/dp/B08R7RPVJF
B09B2581S9,Safari,,₹,2899,,₹,949,997,3.8,https://m.media-amazon.com/images/I/31VUOSlaIgL._SX342_SY445_.jpg,"Safari Sneak Casual Backpack with USB Charging Port 26 Ltrs Water Resistant Fabric - Grey, L (SNEAK19CBGRE)",https://www.amazon.in/dp/B09B2581S9
B085S444JV,Brand: Wesley,,₹,1199,,₹,550,11546,4.3,https://m.media-amazon.com/images/I/41rIpA+VoPL._SY300_SX300_.jpg,"Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L, Charcoal black",https://www.amazon.in/dp/B085S444JV
B09B26MB5M,Safari,,₹,2010,,₹,599,887,3.8,https://m.media-amazon.com/images/I/31ZtugOLnDL._SX342_SY445_.jpg,"Safari Spartan 21 Ltrs Water Resistant Backpack - Blue, S (SPARTAN19CBBLU)",https://www.amazon.in/dp/B09B26MB5M
B09WDGZ32L,Half Moon,,₹,2199,,₹,979,519,4,https://m.media-amazon.com/images/I/41MWBXvsmKL._SX342_SY445_.jpg,Half Moon 55 litres Travelling Laptop Bag/Rucksack Backpack for Luggage Travel Journey Trekking Hiking Bags for Men Women Boys and Girls with Laptop Compartment & Rain Cover,https://www.amazon.in/dp/B09WDGZ32L
B086MZDG7H,Brand: FUR JADEN,"Going to the gym is no light matter. One needs to stay motivated with the help of the right mind set, the right atmosphere, and of course, the perfect gym equipment. This stylish duffle bag from FUR JADEN has you covered on that last front. Featuring a spacious, well-sorted design, it allows you to store all your gym clothing, accessories, and other essentials like protein mixes and healthy snacks with ease. Looking for a bag to carry your accessories for your next football match or a functional workout or any other outdoor activity, this bag has you sorted as it is the perfect size for limited accessories while having a high fashion quotient as style matters and this bag balances appeal with utility. Looking for a medium sized duffle bag that is perfect for a weekend get together than look no further as this bag is perfect to hold 2 pair of clothes plus a towel, a pair of footwear along with basic toilet accessories. The material is water resistant, making it an ideal bag to be carried for all seasons however we always warn customers of being wary of heavy rain as the zips are never 100% waterproof and there is a small chance of moisture getting in from the zips if exposed to heavy rain. Furthermore, the soft construction of this duffle allows you to store it easily when not in use. This gym duffle bag comes with two different kinds of straps to grant you more on the convenience front. Hold it by the short handles or swing it on your shoulder using the longer adjustable strap – the choice is yours. This duffle gym weekend bag comes with one external zip pocket on the side which balances your need to hold small accessories on the go such as keys, wallet, tickets, metro card, spare change, etc.",₹,1000,,₹,499,1713,4.3,https://m.media-amazon.com/images/I/41uT8Mh+08L._SY300_SX300_.jpg,Fur Jaden Tan Leatherette Gym Bag for Men Women Boys Girls Travel Duffle Weekender Bag 23L,https://www.amazon.in/dp/B086MZDG7H
B08F9SFYXQ,BEAUTY GIRLS,,₹,1499,,₹,740,1350,4.1,https://m.media-amazon.com/images/I/41m1VTWcSzL._SX342_SY445_.jpg,BEAUTY GIRLS BY HOTSHOT 1522|School Bag|Tuition Bag|College Backpack|ForGirls&Women|Waterproof Bag,https://www.amazon.in/dp/B08F9SFYXQ
